time_s,distance_m,rx_bytes,throughput_mbps
1.0000,21.000,10621800,169.9488
1.5000,31.000,4713800,75.4208
2.0000,41.000,2234400,35.7504
2.5000,51.000,1178800,18.8608
3.0000,61.000,177800,2.8448
3.5000,71.000,9800,0.1568
4.0000,81.000,15400,0.2464
4.5000,91.000,0,0.0000
5.0000,101.000,0,0.0000
5.5000,111.000,0,0.0000
6.0000,121.000,0,0.0000
6.5000,131.000,0,0.0000
7.0000,141.000,0,0.0000
7.5000,151.000,0,0.0000
8.0000,161.000,0,0.0000
8.5000,171.000,0,0.0000
9.0000,181.000,0,0.0000
9.5000,191.000,0,0.0000
10.0000,201.000,0,0.0000
