time_s,distance_m,rx_bytes,throughput_mbps
1.0000,21.000,15436400,246.9824
1.5000,31.000,6167000,98.6720
2.0000,41.000,2294600,36.7136
2.5000,51.000,819000,13.1040
3.0000,61.000,152600,2.4416
3.5000,71.000,43400,0.6944
4.0000,81.000,0,0.0000
4.5000,91.000,0,0.0000
5.0000,101.000,0,0.0000
5.5000,111.000,0,0.0000
6.0000,121.000,0,0.0000
6.5000,131.000,0,0.0000
7.0000,141.000,0,0.0000
7.5000,151.000,0,0.0000
8.0000,161.000,0,0.0000
8.5000,171.000,0,0.0000
9.0000,181.000,0,0.0000
9.5000,191.000,0,0.0000
10.0000,201.000,0,0.0000
